chunk_id,chunk_text
11,"SPACE _ ID string-constant
Specifies the space identifier for API usage, billing, and access control.
This value must follow platform naming rules and be unique within the account.
The string-constant value must not exceed 256 bytes in length (SQLSTATE 42622)."
12,"KEY string-constant
Provides the authentication token or API key required to access the provider's model endpoint.
This key is used to authorize requests made from Db2 to the external provider. The key must be valid, active, and have the necessary permissions to invoke the specified model. The key is typically issued by the provider and can be subject to expiration or usage limits.
The string-constant value must not exceed 512 bytes in length (SQLSTATE 42622)."
13,"model-type
Defines the functional category of the external model being registered. This parameter informs Db2 of the model's intended purpose and determines how it will be integrated and invoked within SQL operations.
The supported model types are:"
14,"TEXT _ EMBEDDING
Indicates that the model transforms input text into high-dimensional vector embeddings, which can be used for tasks such as semantic similarity, clustering, or vector-based search. This type of model is used in the TO _ EMBEDDING builtin function."
15,"dimension
An integer constant that specifies the dimension of the vector. For a row-organized table, the value must be from 1 to 8168 for FLOAT32 and from 1 to 32672 for INT8 (SQLSTATE 42611). For a column-organized table, the value must be from 1 to 8148 for FLOAT32 and from 1 to 32592 for INT8 (SQLSTATE 42611)."
16,"coordinate-type
- REAL or FLOAT32: single-precision, 4-byte floating point.
- INT8: 1-byte integer."
17,"TEXT _ GENERATION
This type of model generates text based on an input prompt. This model type is used in the TEXT _ GENERATION builtin function."
18,"watsonx-text-generation-options
These options can only be specified for provider WATSONX with model type TEXT _ GENERATION (SQLSTATE 42601)."
19,"MAX _ NEW _ TOKENS integer-constant
Specifies the maximum number of tokens the text generation model can generate. Controls output length and resource usage. The integer-constant value must be greater than or equal to 0 (SQLSTATE 42615)"
20,"MIN _ NEW _ TOKENS integer-constant
Specifies the minimum number of tokens the text generation model can generate. Controls output length and resource usage. The integer-constant value must be greater than or equal to 0 (SQLSTATE 42615)."
21,"RANDOM _ SEED integer-constant
Random number generator seed to use in sampling mode for experimental repeatability. The integer-constant value must be greater than 0 (SQLSTATE 42615)."
22,"REPETITION _ PENALTY numeric-constant
Represents the penalty for penalizing tokens that have already been generated or belong to the context. The value 1.0 means that there is no penalty. The numeric-constant value must be between 1.0 and 2.0 inclusive (SQLSTATE 42615)."
23,"STOP _ SEQUENCE1 to STOP _ SEQUENCE4 string _ constant
Up to four strings which will cause the text generation to stop if or when any are produced as part of the output. Stop sequences encountered prior to the minimum number of tokens being generated will be ignored. The string-constant value must not be an empty string, and must not exceed 256 bytes in length (SQLSTATE 42615)."
24,"TEMPERATURE numeric-constant
Used to modify the next-token probabilities in sampling mode. Values less than 1.0 sharpen the probability distribution, producing a more deterministic output. Values greater than 1.0 flatten the probability distribution, producing a more varied output. A value of 1.0 has no effect. The numeric-constant value must be between 0.05 and 2.0 inclusive (SQLSTATE 42615)."
25,"TIME _ LIMIT integer-constant
Time limit in milliseconds. If text generation is not completed within the time limit, the generation will stop. The text generated within the time limit is returned along with the TIME _ LIMIT stop reason. Depending on the plan with the provider and on the model being used, an enforced time limit may be in place. The integer-constant value must be greater than 0 (SQLSTATE 42615)."
26,"TRUNCATE _ INPUT _ TOKENS integer-constant
Specifies the maximum number of input tokens allowed. Use this setting to prevent requests from failing when the input is longer than the configured limits. If truncation occurs, tokens are removed from the start of the input and the end of the input remains intact. If this value is greater than the model's maximum sequence length, the request fails when the total token count exceeds that maximum. To find the model's maximum sequence length, refer to the specific model's documentation. The integer-constant value must be greater than 0 (SQLSTATE 42615)."
27,"FREQUENCY _ PENALTY numeric-constant
The numeric-constant value must be between -2.0 and 2.0 inclusive (SQLSTATE 42615)."
28,"Notes
- The owner of the external model is granted ALTER and USAGE privileges on the model. The owner of the model can drop the model.
- There is no validation of credentials or other settings when creating a model. To validate the settings, invoke the appropriate builtin function such as TO _ EMBEDDING or TEXT _ GENERATION."
29,"watsonx.ai example
```
CREATE EXTERNAL MODEL aschema.granite-embed PROVIDER WATSONX KEY 'api-keyxxxxx' ID 'ibm/slate-30m-english-rtrvr' TYPE TEXT_EMBEDDING RETURNING VECTOR(1024, FLOAT32) URL 'https://us-south.ml.cloud.ibm.com/ml/v1/text/embeddings' PROJECT_ID 'f5599cfd-7aca-451e-b897-35d8f624e775'
```"
30,"ALTER EXTERNAL MODEL statement
The ALTER EXTERNAL MODEL statement updates, adds, or drops a metadata attribute in an existing external model."
31,"Invocation
This statement can be embedded in an application program or issued through the use of dynamic SQL statements. It is an executable statement that can be dynamically prepared only if DYNAMICRULES run behavior is in effect for the package (SQLSTATE 42509)."
32,"Authorization
The privileges held by the authorization ID of the statement must include at least one of the following authorities:
- ALTER privilege on the external model to be altered.
- ALTERIN privilege on the schema of the external model.
- SCHEMAADM authority on the schema of the external model.
- DBADM authority"
33,"MAX _ COMPLETION _ TOKENS integer-constant
The integer-constant value must be greater than or equal to 0 (SQLSTATE 42615)."
34,"REASONING _ EFFORT
Constrains effort on reasoning. Supported values are MINIMAL, LOW, MEDIUM, and HIGH. Reducing reasoning effort can result in faster responses and fewer tokens used on reasoning in a response."
35,"STOP1 to STOP4 string _ constant
Up to four strings which cause the text generation to stop if any are produced as part of the output. The string-constant value must not be an empty string, and must not exceed 256 bytes in length (SQLSTATE 42615)."
36,"TEMPERATURE numeric-constant
The numeric-constant value must be between 0.00 and 2.0 inclusive (SQLSTATE 42615)."
37,"model-name
Identifies the name of the external model whose configuration is being altered. This name must correspond to a model registered in the catalog (SQLSTATE 42704)."
38,"ID string-constant
Uniquely specifies the target model within the context of a given provider. Different providers may use the same model ID to refer to similar or identical models, but the ID must be unique within each provider's model catalog. Db2 uses the ID to locate and interact with the correct remote model during API calls. The value must match the identifier published in the provider's documentation or model registry. If the model ID does not correspond to the expected value, integration and invocation fails."
39,"return-type
Defines the return type of the model. The model type cannot be altered and the specified return type must agree with the model type specified during external model creation. (SQLSTATE 42601)."
40,"URL string-constant
Defines the HTTPS endpoint of the external model as provided by the model provider. This endpoint must be a valid and accessible HTTPS URL that points to the model's inference or service interface. Db2 uses this URL to issue API requests for model invocation. If the provider supplies only a base URL and expects the client to construct the full endpoint dynamically, Db2 will automatically assemble the complete URL according to the provider's documented conventions. The final URL must conform to the provider's expected request structure and support the required authentication mechanisms.
string-constant must not be an empty string, and must not exceed 512 bytes in length (SQLSTATE 42615)."
41,"KEY string-constant
Provides the authentication token or API key required to access the provider's model endpoint. This key is used to authorize requests made from Db2 to the external provider. It must be valid and active, and it should have the necessary permissions to invoke the specified model. The key is typically issued by the provider and may be subject to expiration or usage limits. The string-constant value must not be an empty string, and must not exceed 512 bytes in length (SQLSTATE 42615)."
42,"PROJECT _ ID string-constant
Specifies the project identifier for API usage, billing, and access control. Must follow platform naming rules and be unique within the account. The string-constant value must not be an empty string, and must not exceed 256 bytes in length (SQLSTATE 42615)."
43,"watsonx-text-generation-options
These options can only be specified for provider WATSONX with model type TEXT _ GENERATION (SQLSTATE 42601). See CREATE EXTERNAL MODEL for more information."
44,"openai-text-generation-options
These options can only be specified for provider OPENAI with model type TEXT _ GENERATION (SQLSTATE 42601). See CREATE EXTERNAL MODEL for more information."
45,"Rules
- At least one SET or DROP clause is required (SQLSTATE 42601).
- A parameter cannot be set and dropped within a single invocation (SQLSTATE 42613).
- If the model provider is WATSONX:
- KEY cannot be dropped (SQLSTATE 42601).
- Either PROJECT _ ID or SPACE _ ID must be defined for a given external model, and they cannot both be defined (SQLSTATE 42613). For example, if a model currently has PROJECT _ ID defined, and DROP PROJECT _ ID is specified, then SET SPACE _ ID must also be specified in the same invocation.
- If the model provider is OPENAI, then PROJECT _ ID and SPACE _ ID cannot be set."
46,"Example
```
ALTER EXTERNAL MODEL aschema.granite-embed SET KEY 'api-keyxxxxx' SET PROJECT_ID 'MY-PROJECT-ID'
```"
47,"DROP EXTERNAL MODEL statement
The DROP EXTERNAL MODEL statement removes an external model definition from the catalog. Once dropped, the model can no longer be referenced in SQL statements or built-in functions such as TO _ EMBEDDING."
48,"model-name
Specifies the external model to be dropped
The model-name value must identify an external model that is described in the catalog (SQLSTATE 42704)."
49,"RESTRICT
Prevents the external model from being dropped if it is referenced in an SQL routine definition, trigger definition, or view definition (SQLSTATE 42893).
The restrict rule is enforced by default if the following conditions are met:
- The auto _ reval database configuration parameter is set to disabled.
- An inline trigger definition, inline SQL function definition, inline SQL method definition, or view references the variable."
50,"Example
Note: The parameter values in the following example, such as model name, ID, URL, Key, project ID, are placeholders. Replace them with the actual values required in your environment.
The following example shows the command syntax for dropping an external model created with a name MYMODEL:
DROP EXTERNAL MODEL MYSCHEMA.MYMODEL;"
51,"TRANSFER OWNERSHIP statement
The TRANSFER OWNERSHIP statement transfers ownership of a database object."
52,"EXTERNAL MODEL model-name
Identifies the external model that is to have its ownership transferred. The model-name must identify an external model that is described in the catalog (SQLSTATE 42704). When ownership of the external model is transferred, the value in the OWNER column for the external model in the SYSCAT.EXTERNALMODELS catalog view is replaced with the authorization ID of the new owner."
53,"GRANT (external model privileges)
This form of the GRANT statement grants the USAGE privilege on an external model"
54,"ALL|ALL PRIVILEGES
Grants all privileges on the specified external model."
55,"USAGE
Grants the privilege to use an external model. A user must have the USAGE privilege on a model to invoke it for tasks such as inference or embedding generation."
56,"ALTER
Grants the privilege to alter existing external model by using the ALTER EXTERNAL MODEL statement."
57,"ON EXTERNAL MODEL model-name
Identifies the external model on which one or more privileges are to be granted. The model-name value, including an implicit or explicit qualifier, must identify an external model that exists at the current server (SQLSTATE 42704)."
58,"TO
Specifies the recipients of the specified privilege."
59,"USER
Specifies that the authorization-name identifies a user."
60,"GROUP
Specifies that the authorization-name identifies a group."
61,"ROLE
Specifies that the authorization-name identifies an existing role at the current server (SQLSTATE 42704)."
62,"authorization-name,...
Lists the authorization IDs of one or more users, groups, or roles. The list of authorization IDs cannot include the authorization ID of the user issuing the statement (SQLSTATE 42502)."
63,"PUBLIC
Grants the privilege to all users (authorization IDs) in the system."
64,"Example
Note: The parameter values in the following example are placeholders. Replace them with the actual values required in your environment.
The following example shows the command syntax for granting the user LISA the ability to use the external model aschema.granite-embed :
GRANT USAGE ON EXTERNAL MODEL aschema.granite-embed TO USER LISA"
65,"REVOKE (external model privileges)
This form of the REVOKE statement revokes the USAGE privilege from an external model."
66,"ALL|ALL PRIVILEGES
Revokes all privileges to use the specified external model."
67,"USAGE
Revokes the privilege to use an external model. Once the USAGE privilege is revoked, the specified user, group, or role can no longer invoke the model for tasks, such as generating embeddings or text."
68,"ALTER
Revokes the privilege to modify the properties of external model by using the ALTER EXTERNAL MODEL statement."
69,"ON EXTERNAL MODEL model-name
Specifies the external model from which the specified privilege is to be revoked. The model-name must refer to a model that exists and is registered in the model catalog. If the model does not exist, the statement fails with an appropriate error."
70,"FROM
Specifies from whom the specified privilege is revoked."
71,"USER
Specifies that the authorization-name identifies a user."
72,"GROUP
Specifies that the authorization-name identifies a group."
73,"ROLE
Specifies that the authorization-name identifies an existing role at the current server (SQLSTATE 42704)."
74,"authorization-name,...
Lists the authorization IDs of one or more users, groups, or roles. The list of authorization IDs cannot include the authorization ID of the user issuing the statement (SQLSTATE 42502)."
75,"PUBLIC
Specifies all users (authorization IDs) in the system."
76,"BY ALL
Specifies all named users who were explicitly granted named privileges, regardless of who granted them. This is the default behavior."
77,"Rules
For each authorization-name specified without USER, GROUP, nor ROLE specified, the database determines the type based on entries in the SYSCAT.EXTERNALMODELAUTH catalog view. For all rows for the specified object where the grantee matches the authorization-name:
- If all rows have a GRANTEETYPE value of 'U', the authorization-name is treated as a USER.
- If all rows have a GRANTEETYPE value of 'G', the authorization-name is treated as a GROUP.
- If all rows have a GRANTEETYPE value of 'R', the authorization-name is treated as a ROLE.
- If the rows do not all have the same GRANTEETYPE value, an error is returned (SQLSTATE 56092)."
78,"Notes
- If you revoke a privilege on an external model from the authorization ID that bound a package, the package becomes invalid unless that authorization ID still holds the privilege on the sequence through another source, such as membership in a role that holds the privilege.
- Revoking a specific privilege does not always prevent a user from performing the related action. A user can still perform the action if they hold other privileges through PUBLIC, through a group they belong to, or through a higher level of authority such as DBADM."
79,"Example
Note: The parameter values in the following example are placeholders. Replace them with the actual values required in your environment.
The following example shows the command syntax for revoking the ability to use the external model aschema.granite-embed from the user LISA:
REVOKE USAGE ON EXTERNAL MODEL aschema.granite-embed FROM USER LISA"
80,"TO _ EMBEDDING
The TO _ EMBEDDING built-in function returns the embedding vector for an input string.
```
TO_EMBEDDING ( string-expression USING model-name )
```
The schema is SYSIBM."
81,"string-expression
A
```
VARCHAR
```
value containing the text to be embedded."
82,"model-name
A registered embedding model to be used for generating an embedding vector. USAGE privilege is required on the external model.
The result of the function is a VECTOR type value with the dimension and coordinate-type specified in model-name . If the first argument can be null, the result can be null. If the first argument is null, the result is the null value.
The following example shows the command syntax for returning an embedded vector by using the external model model1 :
```
db2 ""VALUES TO_EMBEDDING('hello embedding' USING db2inst1.model1)""
```"
83,"TEXT _ GENERATION
The TEXT _ GENERATION built-in function returns the generated text based on an input string. TEXT _ GENERATION is a non-deterministic function.
```
TEXT_GENERATION ( string-expression USING model-name )
```
The schema is SYSIBM."
84,"string-expression
A string value representing the prompt from which to generate text."
85,"model-name
A registered text generation model to be use for text generation. In dynamic SQL statements, the CURRENT SCHEMA special register is used as a qualifier for an unqualified external model name. In static SQL statements, the QUALIFIER precompile or bind option implicitly specifies the qualifier for an unqualified external model name. The external model must be defined with model type TEXT _ GENERATION (SQLSTATE 42858).
The result of the function is a string type as defined in model-name. If the first argument can be null, the result can be null. If the first argument is null, the result is the null value."
86,"Notes
- The privileges held by the authorization ID of the statement must include at least one of the following privileges:
- The USAGE privilege on the external model.
- DATAACCESS authority."
87,"SQL messages and states
The following are new SQL and SQLSTATE messages."
88,"SQL messages
. See db2diag.log for more information. | The external AI API returned an error. indicates the provider of the API. And is a snippet of the error message returned from the API. The entire error message is logged in db2diag.log. | Determine what is incorrect by reviewing the error message snippet or detailed error message in the db2diag.log. Ensure the following prerequisites are met: • You are using a valid external model. • You are using valid API credentials, model fields and options depending on the operation and provider. • You are using a supported input type. | was unsuccessful. | Db2 could not make a connection to AI API. indicate provider of the API. | Determine what is incorrect about the external model: • Validate external model. • Validate API credentials, model fields and options depending on the operation and provider | that is specified for built- in function is defined with an incompatible model type. | The built-in function requires an external model that is defined with a compatible model type: TO_EMBEDDING Requires an external model with model type TEXT_EMBEDDING. TEXT_GENERATION Requires an external model with model type TEXT_GENERATION."
89,"SQL messages
| Specify an external model with a compatible model type. |
SQL Message ID, Table 2. SQL messages = Message. SQL Message ID, Table 2. SQL messages = Explanation. SQL Message ID, Table 2. SQL messages = User Response. SQL20592N, Table 2. SQL messages = . SQL20592N, Table 2. SQL messages = . SQL20592N, Table 2. SQL messages = 
SQL20593N
SQL20595N"
90,"SQLSTATE messages
SQLSTATE value, Table 3. SQLSTATE messages = Meaning. 38555, Table 3. SQLSTATE messages = Error from external AI API.. 38556, Table 3. SQLSTATE messages = Unsuccessful connection to external AI API."
91,"Catalog views
The catalog view SYSCAT.EXTERNALMODELS is defined to provide metadata about externally defined machine learning models that are integrated into the database system via the CREATE EXTERNAL MODEL statement. This view captures essential information about the external model's identity, provider, access configuration, and user-defined options."
92,"Catalog views

Column Name, Table 4. SYSCAT.EXTERNALMODELS catalog view = Data Type. Column Name, Table 4. SYSCAT.EXTERNALMODELS catalog view = Nullable. Column Name, Table 4. SYSCAT.EXTERNALMODELS catalog view = Description. MODELSCHEMA, Table 4. SYSCAT.EXTERNALMODELS catalog view = VARCHAR(128). MODELSCHEMA, Table 4. SYSCAT.EXTERNALMODELS catalog view = No. MODELSCHEMA, Table 4. SYSCAT.EXTERNALMODELS catalog view = Schema name of the external model.. MODELNAME, Table 4. SYSCAT.EXTERNALMODELS catalog view = VARCHAR(128). MODELNAME, Table 4. SYSCAT.EXTERNALMODELS catalog view = No. MODELNAME, Table 4. SYSCAT.EXTERNALMODELS catalog view = Unqualified name of the external model.. PROVIDER, Table 4. SYSCAT.EXTERNALMODELS catalog view = VARCHAR(128). PROVIDER, Table 4. SYSCAT.EXTERNALMODELS catalog view = No. PROVIDER, Table 4. SYSCAT.EXTERNALMODELS"
93,"Catalog views

 catalog view = External model provider, e.g. WATSONX or OPENAI.. MODELID, Table 4. SYSCAT.EXTERNALMODELS catalog view = VARCHAR(256). MODELID, Table 4. SYSCAT.EXTERNALMODELS catalog view = No. MODELID, Table 4. SYSCAT.EXTERNALMODELS catalog view = Unique identifier of the model within the provider's system.. MODELTYPE, Table 4. SYSCAT.EXTERNALMODELS catalog view = VARCHAR(32). MODELTYPE, Table 4. SYSCAT.EXTERNALMODELS catalog view = No. MODELTYPE, Table 4. SYSCAT.EXTERNALMODELS catalog view = Type of the model, for example: • TEXT_EMBEDDING • TEXT_GENERATION. RETURNTYPE, Table 4. SYSCAT.EXTERNALMODELS catalog view = VARCHAR(128). RETURNTYPE, Table 4. SYSCAT.EXTERNALMODELS catalog view = No. RETURNTYPE, Table 4. SYSCAT.EXTERNALMODELS catalog view = Return type of the external model, for example: VECTOR(768,FLOAT32).. URL, Table"
94,"Catalog views
 4. SYSCAT.EXTERNALMODELS catalog view = VARCHAR(512). URL, Table 4. SYSCAT.EXTERNALMODELS catalog view = No. URL, Table 4. SYSCAT.EXTERNALMODELS catalog view = URL endpoint used to invoke the external model.. OWNER, Table 4. SYSCAT.EXTERNALMODELS catalog view = VARCHAR(128). OWNER, Table 4. SYSCAT.EXTERNALMODELS catalog view = No. OWNER, Table 4. SYSCAT.EXTERNALMODELS catalog view = Authorization ID of the owner of the external model.. OWNERTYPE, Table 4. SYSCAT.EXTERNALMODELS catalog view = VARCHAR(1). OWNERTYPE, Table 4. SYSCAT.EXTERNALMODELS catalog view = No. OWNERTYPE, Table 4. SYSCAT.EXTERNALMODELS catalog view = • S = The owner is the system • U = The owner is an individual user."
95,"Catalog views

Column Name, Table 5. SYSCAT.EXTERNALMODELOPTIONS Catalog View = Data Type. Column Name, Table 5. SYSCAT.EXTERNALMODELOPTIONS Catalog View = Nullable. Column Name, Table 5. SYSCAT.EXTERNALMODELOPTIONS Catalog View = Description. MODELSCHEMA, Table 5. SYSCAT.EXTERNALMODELOPTIONS Catalog View = VARCHAR(128). MODELSCHEMA, Table 5. SYSCAT.EXTERNALMODELOPTIONS Catalog View = No. MODELSCHEMA, Table 5. SYSCAT.EXTERNALMODELOPTIONS Catalog View = Schema of the external model.. MODELNAME, Table 5. SYSCAT.EXTERNALMODELOPTIONS Catalog View = VARCHAR(128). MODELNAME, Table 5. SYSCAT.EXTERNALMODELOPTIONS Catalog View = No. MODELNAME, Table 5. SYSCAT.EXTERNALMODELOPTIONS Catalog View = Unqualified name of the external model.. OPTION, Table 5. SYSCAT.EXTERNALMODELOPTIONS Catalog View = VARCHAR(128). OPTION, Table 5. SYSCAT.EXTERNALMODELOPTIONS Catalog View = No. OPTION, Table"
96,"Catalog views
 5. SYSCAT.EXTERNALMODELOPTIONS Catalog View = Name of the external model option.. SETTING, Table 5. SYSCAT.EXTERNALMODELOPTIONS Catalog View = VARCHAR(256). SETTING, Table 5. SYSCAT.EXTERNALMODELOPTIONS Catalog View = No. SETTING, Table 5. SYSCAT.EXTERNALMODELOPTIONS Catalog View = Value of the external model option."
97,"Catalog views

Column Name, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = Data Type. Column Name, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = Nullable. Column Name, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = Description. GRANTOR, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = VARCHAR(128). GRANTOR, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = No. GRANTOR, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = Grantor of a privilege.. GRANTEE, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = CHAR(1). GRANTEE, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = No. GRANTEE, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = Indicates type of grantor: • S = System • U = User. GRANTEE, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = VARCHAR(128). GRANTEE, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = No. GRANTEE,"
98,"Catalog views

 Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = Holder of a privilege. GRANTEETYPE, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = CHAR(1). GRANTEETYPE, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = No. GRANTEETYPE, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = Type of grantee: • G = Group • R = Role • U = Individual user. MODELSCHEMA, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = VARCHAR(128). MODELSCHEMA, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = No. MODELSCHEMA, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = Schema name of the external model to which this privilege applies.. MODELNAME, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = VARCHAR(128). MODELNAME, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = No. MODELNAME, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = Unqualified name of the external model to"
99,"Catalog views
 which this privilege applies.. ALTERAUTH, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = CHAR(1). ALTERAUTH, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = No. ALTERAUTH, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = Privilege to alter the model: • G = Held and grantable • Y = Held • N = Not held. USAGEAUTH, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = CHAR(1). USAGEAUTH, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = No. USAGEAUTH, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view = Privilege to use the model: • G = Held and grantable • Y = Held • N = Not held"
100,"Catalog views
Column Name, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view (continued) = Data Type. Column Name, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view (continued) = Nullable. Column Name, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view (continued) = Description. GRANT_TIME, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view (continued) = TIMESTAMP. GRANT_TIME, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view (continued) = No. GRANT_TIME, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view (continued) = Time at which the privilege was granted.. GRANTREVOKE_TIME, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view (continued) = TIMESTAMP. GRANTREVOKE_TIME, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view (continued) = No. GRANTREVOKE_TIME, Table 6. SYSCAT.EXTERNALMODELAUTH catalog view (continued) = Time at which the privilege was last granted or revoked."
101,"Dependency tracking for external models
The BTYPE value of '9' is introduced in the system dependence catalog view to enable dependency between database objects and external models.
This feature allows the system to track when objects such as routines or triggers refer to an external model, ensuring proper invalidation or impact analysis if the model is modified or dropped.
The following catalog views will be updated to support BTYPE = '9' for external model dependencies:
- SYSCAT.CONTROLDEP
- SYSCAT.PACKAGEDEP
- SYSCAT.ROUTINEDEP
- SYSCAT.TABDEP
- SYSCAT.TRIGDEP
- SYSCAT.VARIABLEDEP
All affected catalog views will record BTYPE = '9' in their respective BTYPE columns when the dependency involves an external model."
